target,driver_cell_type,driver_stimulus,inducibility_lfc,ci_low,ci_high,i2,positive_fraction_resting,positive_fraction_activated,protein_concordance,evidence_class,abstention_reasons,protein_adjustment,row_score,footprint_resting,footprint_activated,footprint_expansion,selectivity_erosion,rna_only_score,score
CD19,T_cell,IFN_I_6h_confirmation,0.5138370153894745,0.12141239714438634,0.9062616336345626,,0.0,0.001008827238335435,UNAVAILABLE,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.0,0.5138370153894745,0,0,0,,0.5138370153894745,0.5138370153894745
CD70,NK_cell,IFN_I_6h_confirmation,0.5013697266567922,-0.8398670644956214,1.842606517809206,,0.004032258064516129,0.00547645125958379,UNAVAILABLE,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.0,0.5013697266567922,0,0,0,,0.5013697266567922,0.5013697266567922
TNFRSF12A,NK_cell,IFN_I_6h_confirmation,0.431716782718171,-0.8379021445924597,1.7013357100288016,,0.009408602150537635,0.013691128148959474,UNAVAILABLE,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.0,0.431716782718171,0,0,0,,0.431716782718171,0.431716782718171
DLL3,B_cell,IFN_I_6h_confirmation,0.3465654822227986,-1.2063040418167499,1.899435006262347,,0.0032701111837802484,0.005,UNAVAILABLE,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.0,0.3465654822227986,0,0,0,,0.3465654822227986,0.3465654822227986
VCAM1,NK_cell,IFN_I_6h_confirmation,0.29867372395666925,-0.19533368145309227,0.7926811293664308,,0.0013440860215053765,0.002738225629791895,UNAVAILABLE,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.0,0.29867372395666925,0,0,0,,0.29867372395666925,0.29867372395666925
FAP,B_cell,IFN_I_6h_confirmation,0.2241459863709476,-0.21518014691610968,0.6634721196580049,,0.0,0.0007142857142857143,UNAVAILABLE,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.0,0.2241459863709476,0,0,0,,0.2241459863709476,0.2241459863709476
TIGIT,Myeloid,IFN_I_6h_confirmation,0.16081016918670796,-0.4073544580697479,0.7289747964431639,,0.011548556430446194,0.014264264264264264,UNAVAILABLE,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.0,0.16081016918670796,1,1,0,,0.16081016918670796,0.16081016918670796
TNFRSF4,T_cell,IFN_I_6h_confirmation,0.1532301805436901,-0.025841253096840183,0.33230161418422033,,0.05707865168539326,0.06380832282471627,UNAVAILABLE,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.0,0.1532301805436901,0,0,0,,0.1532301805436901,0.1532301805436901
ERBB2,Myeloid,IFN_I_6h_confirmation,0.12717709284400655,-0.12209000913024623,0.3764441948182593,,0.0,0.00025025025025025025,UNAVAILABLE,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.0,0.12717709284400655,0,0,0,,0.12717709284400655,0.12717709284400655
TNFRSF9,NK_cell,IFN_I_6h_confirmation,0.07921357335856305,-1.833724089855049,1.9921512365721752,,0.01747311827956989,0.016976998904709748,UNAVAILABLE,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.0,0.07921357335856305,0,0,0,,0.07921357335856305,0.07921357335856305
CLDN18,B_cell,IFN_I_6h_confirmation,0.0,-1.96e-06,1.96e-06,,0.0,0.0,UNAVAILABLE,INSUFFICIENT,['TARGET_UNDETECTED'],0.0,0.0,0,0,0,,0.0,0.0
CLDN6,B_cell,IFN_I_6h_confirmation,0.0,-1.96e-06,1.96e-06,,0.0,0.0,UNAVAILABLE,INSUFFICIENT,['TARGET_UNDETECTED'],0.0,0.0,0,0,0,,0.0,0.0
FOLR1,B_cell,IFN_I_6h_confirmation,0.0,-1.96e-06,1.96e-06,,0.0,0.0,UNAVAILABLE,INSUFFICIENT,['TARGET_UNDETECTED'],0.0,0.0,0,0,0,,0.0,0.0
GPRC5D,B_cell,IFN_I_6h_confirmation,0.0,-1.96e-06,1.96e-06,,0.0,0.0,UNAVAILABLE,INSUFFICIENT,['TARGET_UNDETECTED'],0.0,0.0,0,0,0,,0.0,0.0
CD3E,Myeloid,IFN_I_6h_confirmation,-0.08311862872252523,-0.5819207046776937,0.41568344723264333,,0.03406136245449818,0.036242603550295856,UNAVAILABLE,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.0,-0.08311862872252523,2,2,0,,-0.08311862872252523,-0.08311862872252523
CD8A,Myeloid,IFN_I_6h_confirmation,0.41688782222441256,-0.1657320060139038,0.9995076504627289,,0.008923884514435695,0.011011011011011011,UNAVAILABLE,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.0,0.41688782222441256,2,1,-1,,-0.13311217777558748,-0.13311217777558748
TNFRSF18,T_cell,IFN_I_6h_confirmation,-0.39586978397359873,-0.7292242993444338,-0.06251526860276374,,0.035955056179775284,0.027238335435056747,UNAVAILABLE,INSUFFICIENT,['NO_EVIDENCE_CLASS_THRESHOLD_MET'],0.0,-0.39586978397359873,1,1,0,,-0.39586978397359873,-0.39586978397359873
